Candidate_ID,Resume_Difficulty,Knows_Rejection_Reason,Applied_No_Response,Resume_Matches_JD,Knows_Required_Skills,ATS_Aware,Guidance_Generic,AI_Tool_Helps,Applications,Shortlists
C080,3,No,Yes,No,Yes,No,Yes,Yes,33,2
C081,5,No,Yes,No,No,No,Yes,Yes,59,0
C082,2,Yes,No,Yes,Yes,Yes,No,Yes,17,7
C083,4,No,Yes,No,No,No,Yes,Yes,49,1
C084,3,No,Yes,No,Yes,No,Yes,Yes,32,2
C085,5,No,Yes,No,No,No,Yes,Yes,57,0
C086,2,Yes,No,Yes,Yes,Yes,No,Yes,25,6
C087,4,No,Yes,No,No,No,Yes,Yes,50,1
C088,3,No,Yes,No,Yes,No,Yes,Yes,31,2
C089,5,No,Yes,No,No,No,Yes,Yes,63,0
C090,2,Yes,No,Yes,Yes,Yes,No,Yes,26,7
C091,4,No,Yes,No,No,No,Yes,Yes,51,1
C092,3,No,Yes,No,Yes,No,Yes,Yes,30,2
C093,5,No,Yes,No,No,No,Yes,Yes,64,0
C094,2,Yes,No,Yes,Yes,Yes,No,Yes,16,6
C095,4,No,Yes,No,No,No,Yes,Yes,53,1
C096,3,No,Yes,No,Yes,No,Yes,Yes,29,2
C097,5,No,Yes,No,No,No,Yes,Yes,65,0
C098,2,Yes,No,Yes,Yes,Yes,No,Yes,27,7
C099,4,No,Yes,No,No,No,Yes,Yes,54,1
C100,3,No,Yes,No,Yes,No,Yes,Yes,28,2
